,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated
1,2384000.0,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,1921,0
5,490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938,1994
9,640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010
11,1400000.0,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,1988
13,365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,1955,2009
14,1200000.0,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969
20,750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,1923,0
22,626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,2005,0
24,495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,1959,1989
26,615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,0
29,790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,1951,1999
32,650000.0,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,1945,2010
36,440000.0,2.0,1.0,800,4850,1.0,0,0,4,800,0,1944,0
39,750000.0,3.0,2.5,2390,6550,1.0,0,2,4,1440,950,1955,2009
43,439950.0,3.0,2.5,1770,2875,2.0,0,0,3,1770,0,1990,2009
44,235000.0,2.0,1.0,1210,9400,1.0,0,0,2,1210,0,1949,0
48,445700.0,3.0,2.5,1270,1180,3.0,0,0,3,1270,0,2001,0
52,805000.0,3.0,2.0,2710,4500,1.5,0,0,4,1880,830,1929,0
58,385000.0,3.0,3.25,1320,1327,2.0,0,0,3,1040,280,2008,0
59,295000.0,2.0,2.5,1630,1368,2.0,0,0,3,1280,350,2009,0
65,553000.0,2.0,1.0,900,5000,1.0,0,0,3,900,0,1944,0
71,783500.0,3.0,2.5,2850,7130,2.0,0,0,3,1990,860,1980,0
72,628000.0,4.0,2.0,2280,6010,1.0,0,0,3,1140,1140,1900,2005
75,531000.0,2.0,3.0,1270,1175,2.0,0,0,3,1110,160,2000,0
76,831000.0,4.0,3.0,2170,4000,2.0,0,0,4,1610,560,1982,2011
82,580000.0,2.0,1.0,2540,7000,1.0,0,0,5,1320,1220,1942,0
86,549000.0,2.0,1.0,1140,5400,1.0,0,0,5,1140,0,1908,0
88,405000.0,2.0,3.0,1410,1240,2.0,0,0,3,1140,270,2006,0
91,650000.0,3.0,1.5,2160,9000,1.0,0,2,4,1400,760,1949,1985
92,823000.0,6.0,1.75,2920,5000,2.5,0,0,4,2780,140,1908,0
93,770000.0,3.0,2.0,2350,5700,1.5,0,0,4,1810,540,1939,1989
94,524000.0,3.0,1.75,1560,5520,1.0,0,0,4,780,780,1944,0
96,670000.0,3.0,2.5,1680,2000,3.0,0,0,3,1680,0,1909,1998
98,406100.0,3.0,2.25,1410,1332,3.0,0,0,3,1410,0,2005,0
99,1395000.0,5.0,3.5,4010,8510,2.0,0,1,5,2850,1160,1971,0
104,435000.0,5.0,2.0,1840,9240,1.0,0,0,4,1540,300,1942,1958
108,400000.0,2.0,1.0,840,5510,1.0,0,0,3,840,0,1955,2005
110,657100.0,4.0,1.0,1390,4240,1.0,0,0,3,1050,340,1924,2011
